round	t	wal_project	wal_global
1	1786618704.929	140112	53592
1	1786618706.200	140112	53592
1	1786618707.453	140112	53592
1	1786618708.797	140112	53592
1	1786618710.195	140112	53592
1	1786618711.482	140112	53592
1	1786618712.841	140112	53592
1	1786618714.115	140112	53592
1	1786618715.491	140112	53592
1	1786618716.822	140112	53592
1	1786618718.459	140112	53592
1	1786618719.802	140112	53592
1	1786618721.079	140112	53592
1	1786618722.463	144232	53592
1	1786618723.821	144232	53592
1	1786618725.138	144232	53592
2	1786618759.174	140112	53592
2	1786618760.442	140112	53592
2	1786618761.762	140112	53592
2	1786618763.135	140112	53592
2	1786618764.471	140112	53592
2	1786618765.828	140112	53592
2	1786618767.174	140112	53592
2	1786618768.527	140112	53592
2	1786618769.842	140112	53592
2	1786618771.175	140112	53592
2	1786618772.473	140112	53592
2	1786618773.852	140112	53592
2	1786618775.233	140112	53592
2	1786618776.629	140112	53592
2	1786618777.948	140112	53592
2	1786618779.297	140112	53592
2	1786618780.613	140112	53592
2	1786618781.946	140112	53592
2	1786618783.296	140112	53592
2	1786618784.640	140112	53592
2	1786618786.004	140112	53592
2	1786618787.418	140112	53592
2	1786618788.769	140112	53592
2	1786618790.117	140112	53592
2	1786618791.468	140112	53592
2	1786618792.793	140112	53592
2	1786618794.460	140112	53592
2	1786618795.832	160712	53592
2	1786618797.153	160712	53592
2	1786618798.464	160712	53592
2	1786618799.852	160712	53592
2	1786618801.301	164832	53592
2	1786618802.651	164832	53592
2	1786618804.078	164832	53592
2	1786618805.500	181312	53592
2	1786618806.907	181312	53592
3	1786618842.111	140112	53592
3	1786618843.357	140112	53592
3	1786618844.657	140112	53592
3	1786618846.028	140112	53592
3	1786618847.495	140112	53592
3	1786618848.893	140112	53592
3	1786618850.259	140112	53592
3	1786618851.614	140112	53592
3	1786618852.949	140112	53592
3	1786618854.363	140112	53592
3	1786618855.854	140112	53592
3	1786618857.284	140112	53592
3	1786618858.647	140112	53592
3	1786618859.967	140112	53592
3	1786618861.363	140112	53592
3	1786618862.696	140112	53592
3	1786618864.062	140112	53592
3	1786618865.363	140112	53592
3	1786618866.708	140112	53592
3	1786618868.063	140112	53592
3	1786618869.481	140112	53592
3	1786618870.779	140112	53592
3	1786618872.161	140112	53592
3	1786618873.499	156592	53592
3	1786618874.864	156592	53592
3	1786618876.180	156592	53592
3	1786618877.584	156592	53592
3	1786618878.916	173072	53592
3	1786618880.264	173072	53592
